danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
0.602,0.835,-4.573,0.0413,0.0921,6.43e-05,0.138,0.496,97.992,68
0.878,0.577,-5.925,0.0541,0.0656,0,0.0867,0.498,99.031,70
0.736,0.483,-7.85,0.0682,0.505,1.39e-05,0.351,0.606,109.932,65
0.639,0.723,-6.462,0.0532,0.511,0,0.167,0.878,136.872,86
0.584,0.459,-8.036,0.0519,0.672,1.02e-06,0.107,0.158,136.006,71
0.788,0.744,-6.022,0.069,0.189,5.74e-05,0.196,0.681,96.445,79
0.537,0.41,-10.059,0.138,0.811,0.00595,0.213,0.484,90.051,4
0.657,0.289,-9.996,0.0364,0.892,0.00118,0.11,0.277,89.847,58
0.716,0.813,-5.748,0.256,0.269,0,0.104,0.682,90.418,64
0.534,0.821,-7.463,0.107,0.693,1.02e-05,0.078,0.509,111.032,79
0.715,0.454,-12.105,0.101,0.536,0,0.0996,0.721,119.546,6
0.779,0.364,-7.98,0.0361,0.723,0.312,0.104,0.694,94.971,5
0.492,0.807,-3.677,0.0854,0.205,0.00275,0.384,0.477,107.087,76
0.603,0.546,-7.525,0.35,0.194,2.68e-06,0.0783,0.667,87.99,74
0.651,0.703,-8.958,0.0816,0.0297,0,0.0608,0.647,140.051,74
0.609,0.581,-10.854,0.277,0.509,0,0.283,0.528,102.964,74
0.803,0.387,-5.839,0.0723,0.207,1.98e-06,0.217,0.5,136.038,71
0.726,0.308,-5.858,0.0389,0.665,0.151,0.121,0.279,91.999,70
0.618,0.712,-8.246,0.114,0.14,4.53e-06,0.575,0.305,97.057,70
0.62,0.396,-15.498,0.206,0.735,0.000985,0.0976,0.774,87.865,69
0.732,0.734,-10.574,0.0541,0.0777,0.172,0.327,0.687,104.764,67
0.861,0.27,-9.515,0.0616,0.301,0.00288,0.124,0.608,84.004,66
0.807,0.481,-7.362,0.0713,0.0264,1.28e-06,0.112,0.748,91.005,64
0.535,0.649,-7.638,0.205,0.71,0.000236,0.0973,0.796,86.761,63
0.697,0.41,-9.149,0.144,0.412,0.79,0.111,0.377,166.133,63
0.773,0.623,-6.53,0.0983,0.24,3.56e-05,0.148,0.528,147.826,62
0.685,0.577,-4.655,0.108,0.66,2.69e-06,0.109,0.371,110.326,62
0.714,0.746,-6.561,0.158,0.735,0.000784,0.372,0.649,74.285,62
0.498,0.468,-6.17,0.0502,0.133,0,0.103,0.55,148.266,62
0.61,0.709,-7.143,0.241,0.00707,1.61e-05,0.273,0.33,100.489,62
0.443,0.662,-6.544,0.502,0.277,0.0246,0.102,0.372,169.994,61
0.684,0.638,-8.279,0.0585,0.393,3.5e-06,0.103,0.692,126.959,61
0.836,0.411,-9.084,0.0325,0.42,0.382,0.0913,0.845,90.876,61
0.817,0.4,-6.516,0.165,0.334,3.37e-05,0.0934,0.438,81.058,61
0.494,0.406,-8.472,0.0559,0.848,5.63e-06,0.0765,0.0853,159.957,60
0.814,0.33,-7.535,0.342,0.679,0.000197,0.106,0.685,85.057,60
0.668,0.605,-7.608,0.0454,0.336,0.000206,0.115,0.877,83.002,60
0.45,0.358,-12.836,0.0686,0.499,0.000269,0.254,0.213,85.269,60
0.803,0.59,-11.187,0.0798,0.201,0.00216,0.0605,0.743,118.022,60
0.713,0.525,-10.334,0.267,0.673,0.0091,0.115,0.604,163.989,60
0.676,0.408,-7.937,0.0811,0.576,0.867,0.201,0.226,106.515,60
0.755,0.526,-6.213,0.284,0.615,1.35e-05,0.0872,0.536,80.221,59
0.696,0.538,-6.808,0.0904,0.117,0.157,0.108,0.615,93.07,59
0.554,0.754,-7.088,0.0797,0.402,1.71e-06,0.108,0.728,146.076,59
0.658,0.496,-9.303,0.0484,0.14,0.192,0.184,0.625,82.122,59
0.702,0.712,-7.435,0.0584,0.522,0.0263,0.267,0.891,151.017,58
0.838,0.408,-11.721,0.0727,0.104,0.000593,0.0793,0.485,101.767,58
0.728,0.855,-4.911,0.0335,0.048,0.406,0.0548,0.556,104.978,57
0.467,0.686,-5.045,0.0816,0.0221,0.00261,0.122,0.55,162.001,57
0.573,0.398,-11.246,0.273,0.617,0.0135,0.0892,0.535,82.342,57
0.496,0.291,-15.028,0.0376,0.438,0.894,0.108,0.192,179.913,56
0.542,0.485,-13.131,0.439,0.792,0.00198,0.102,0.698,174.836,57
0.383,0.268,-13.243,0.0301,0.981,0.54,0.0859,0.277,82.067,56
0.611,0.446,-9.297,0.0355,0.192,0.0363,0.281,0.465,84.938,56
0.333,0.421,-9.553,0.0343,0.526,6.44e-05,0.2,0.0859,113.197,55
0.765,0.32,-7.957,0.0519,0.513,0.685,0.135,0.633,118.004,56
0.529,0.544,-10.925,0.371,0.259,0.01,0.375,0.676,92.066,56
0.649,0.804,-4.219,0.0605,0.01,5.11e-06,0.0823,0.602,77.454,55
0.504,0.323,-12.442,0.0481,0.382,0.835,0.373,0.453,79.654,55
0.811,0.685,-6.097,0.241,0.136,0.559,0.368,0.785,77.962,55
0.638,0.779,-5.445,0.0602,0.51,2.02e-06,0.334,0.971,81.99,55
0.728,0.636,-8.551,0.0462,0.00841,0.712,0.291,0.604,90.3,54
0.84,0.664,-6.779,0.0537,0.0746,0.000397,0.136,0.901,87.016,54
0.695,0.733,-7.282,0.117,0.035,3.13e-05,0.0714,0.429,115.024,54
0.68,0.686,-6.089,0.0285,0.04,0.0975,0.0455,0.79,142.007,54
0.718,0.663,-7.499,0.0956,0.0114,0.00173,0.317,0.532,101.004,53
0.775,0.417,-3.987,0.0955,0.271,0.00011,0.0781,0.72,138.058,53
0.519,0.58,-7.439,0.0439,0.33,0.0575,0.113,0.692,83.978,53
0.628,0.295,-12.912,0.0402,0.85,0.0503,0.135,0.286,131.797,53
0.488,0.599,-7.757,0.18,0.0557,0.1,0.0834,0.766,141.84,52
0.625,0.592,-8.034,0.0363,0.0971,0.073,0.119,0.217,88.04,52
0.458,0.323,-11.488,0.0567,0.606,0.0278,0.123,0.499,65.2,51
0.68,0.594,-8.412,0.0712,0.0321,0.00011,0.19,0.308,74.919,52
0.418,0.449,-12.49,0.0439,0.149,0.89,0.0869,0.177,81.235,51
0.392,0.55,-7.396,0.0937,0.633,5.19e-05,0.113,0.578,87.501,51
0.638,0.423,-7.195,0.0323,0.362,0,0.0846,0.469,85.917,51
0.618,0.413,-9.311,0.398,0.134,0.000338,0.0913,0.462,87.412,51
0.431,0.663,-6.632,0.0737,0.0219,0.001,0.12,0.328,118.034,51
0.198,0.33,-10.672,0.0346,0.891,0.000355,0.138,0.352,173.116,51
0.505,0.528,-7.422,0.093,0.546,0,0.195,0.316,80.567,51
0.53,0.595,-6.081,0.0332,0.177,0.0169,0.19,0.0748,71.062,51
0.64,0.666,-7.332,0.29,0.599,9.49e-05,0.361,0.748,73.068,50
0.602,0.691,-7.021,0.242,0.259,0,0.098,0.709,164.475,50
0.864,0.561,-7.401,0.0631,0.455,0.426,0.155,0.709,116.576,50
0.914,0.511,-10.538,0.188,0.0804,0.00321,0.172,0.442,114.98,50
0.639,0.573,-6.368,0.0399,0.193,0.000145,0.139,0.671,81.98,50
0.487,0.471,-4.654,0.0639,0.262,0.00278,0.131,0.509,91.737,50
0.793,0.699,-9.849,0.37,0.0199,0.000183,0.108,0.897,98.957,50
0.812,0.539,-7.24,0.125,0.235,0.749,0.11,0.195,99.929,50
0.714,0.372,-9.844,0.107,0.864,0.000186,0.131,0.293,103.174,50
0.36,0.551,-7.994,0.0417,0.561,0.00012,0.117,0.337,138.33,49
0.491,0.725,-4.915,0.11,0.0491,1.91e-05,0.176,0.761,168.144,49
0.694,0.344,-14.777,0.168,0.311,0.342,0.117,0.607,150.071,49
0.754,0.333,-9.791,0.0296,0.444,0.0164,0.108,0.157,108.021,49
0.755,0.556,-7.489,0.0478,0.0114,0,0.118,0.625,109.988,49
0.86,0.647,-7.624,0.22,0.159,4.33e-05,0.133,0.634,99.946,49
0.618,0.75,-6.938,0.0641,0.324,0.0168,0.431,0.864,88.179,49
0.633,0.831,-7.145,0.0705,0.0595,0.664,0.148,0.717,133.167,48
0.717,0.328,-14.855,0.0507,0.399,0.774,0.122,0.835,86.019,48
0.694,0.592,-12.229,0.135,0.117,0.000238,0.325,0.448,105.88,48
