id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
7MXVkk9YMctZqd1Srtv4MB,0.679,0.587,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,93
2QjOHCTQ1Jl3zawyYOpxh6,0.612,0.807,-2.81,0.0336,0.0495,0.0177,0.101,0.398,124.053,91
68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,-8.492,0.339,0.324,0,0.0534,0.494,100.028,90
0tgVpDi06FyKpA1z0VMD4v,0.599,0.448,-6.312,0.0232,0.163,0,0.106,0.168,95.05,89
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,89
0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,-4.374,0.128,0.0622,0,0.081,0.666,124.949,89
5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,88
3xKsf9qdS1CyvXSMEid6g8,0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,159.94,88
3w3y8KPTfNeOKPiqUTakBh,0.726,0.698,-4.165,0.0431,0.049,0,0.309,0.867,143.994,88
7ef4DlsgrMEH11cDZd32M6,0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,87
1zi7xx7UVEFkmKfv06H8x0,0.792,0.625,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,87
7qiZfU4dY1lWllzX7mPBI3,0.825,0.652,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,88
7JJmb5XwzOO8jgpou264Ml,0.866,0.813,-4.063,0.0554,0.38,0,0.0779,0.969,121.998,87
21jGcNKet2qwijlDFuPiPb,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,87
0fea68AdmYNygeTGI4RC18,0.754,0.646,-5.795,0.317,0.152,1.85e-05,0.108,0.429,176.089,87
0nrRP2bk19rLc0orkWPQk2,0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,87
5uCax9HTNlzGybIStD3vDh,0.358,0.557,-7.398,0.059,0.695,0,0.0902,0.494,85.043,87
5oO3drDxtziYU2H1X23ZIp,0.509,0.637,-4.83,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,87
1zB4vmk8tFRmM9UULNzbLB,0.605,0.822,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997,86
3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,86
6K4t31amVTZDgR3sKmwUJJ,0.64,0.74,-4.083,0.0284,0.0115,0.00678,0.167,0.785,116.879,86
3U4isOIWM3VvDubwSI3y7a,0.422,0.264,-7.064,0.0322,0.922,0,0.132,0.331,119.93,86
6RUKPb4LETWmmr3iAEQktW,0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,86
3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,-4.078,0.341,0.106,0,0.107,0.747,82.695,86
6DCZcSspjsKoFjzjrWoCdn,0.754,0.449,-9.211,0.109,0.0332,8.29e-05,0.552,0.357,77.169,86
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011,85
2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,-6.362,0.0308,0.371,0,0.231,0.323,95.799,85
6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,-10.732,0.334,0.592,0,0.0881,0.327,140.048,85
4cluDES4hQEUhmXj6TXkSo,0.726,0.787,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,85
285pBltuF7vW8TeWk8hdRR,0.511,0.566,-7.23,0.2,0.349,0,0.34,0.218,83.903,85
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,0,0.111,0.661,95.01,85
0KKkJNfGyhkQ5aFogxQAPU,0.853,0.56,-4.961,0.0406,0.013,0,0.0944,0.86,134.066,85
0FDzzruyVECATHXKHFs9eJ,0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,85
0WtDGnWL2KrMCk0mI1Gpwz,0.745,0.353,-10.614,0.0983,0.174,0.00662,0.118,0.598,160.111,85
0e7ipj03S05BNilyu5bRzt,0.585,0.52,-6.136,0.0712,0.124,7.01e-05,0.131,0.129,159.801,85
50kpGaPAhYJ3sGmk6vplg0,0.609,0.378,-9.828,0.438,0.835,0,0.28,0.515,100.418,85
5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094,85
3GCdLUSnKSMJhs4Tj6CV3s,0.698,0.633,-4.946,0.0597,0.0605,0.000194,0.0926,0.552,96.924,85
5Ohxk2dO5COHF1krpoPigN,0.516,0.595,-4.63,0.0313,0.0275,0,0.109,0.222,119.972,85
6qn9YLKt13AGvpq9jfO8py,0.734,0.766,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,85
43zdsphuZLzwA9k4DJhU0I,0.367,0.111,-14.084,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,84
4kbj5MwxO1bq9wjT5g9HaA,0.578,0.866,-3.804,0.0619,0.00701,0,0.257,0.619,128.038,84
0lYBSQXN6rCTvUZvg9S0lU,0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,84
34gCuhDGsG4bRPIf9bb02f,0.781,0.445,-6.061,0.0295,0.474,0,0.184,0.591,78.998,84
3RiPr603aXAoi4GHyXx0uy,0.491,0.693,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,84
15JINEqzVMv3SvJTAXAKED,0.749,0.925,-5.034,0.227,0.241,0,0.52,0.641,86.989,84
2nMeu6UenVvwUktBCpLMK9,0.324,0.416,-8.92,0.0368,0.262,3.69e-05,0.11,0.151,113.986,84
22VdIZQfgXJea34mQxlt81,0.705,0.769,-5.526,0.0425,0.113,0,0.105,0.583,107.949,84
0azC730Exh71aQlOt9Zj3y,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,84
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,84
7w87IxuO7BDcJ3YUqCyMTT,0.733,0.71,-5.849,0.0292,0.145,0.115,0.0956,0.965,127.975,84
3pXF1nA74528Edde4of9CC,0.765,0.356,-5.556,0.195,0.223,0,0.0963,0.189,96.991,84
2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,-3.714,0.222,0.00513,0,0.124,0.446,155.008,84
4nVBt6MZDDP6tRVdQTgxJg,0.6,0.663,-5.802,0.0477,0.225,0,0.119,0.286,121.07,84
0rKtyWc8bvkriBthvHKY8d,0.515,0.479,-7.458,0.0261,0.544,0.00598,0.191,0.284,88.964,84
7BqBn9nzAq8spo5e7cZ0dJ,0.635,0.841,-5.379,0.0422,0.0134,0,0.0622,0.424,109.021,84
3B54sVLJ402zGa6Xm4YGNe,0.726,0.769,-5.043,0.123,0.0293,0.0101,0.104,0.733,97.985,84
32OlwWuMpZ6b0aN2RZOeMS,0.856,0.609,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,84
2dpaYNEQHiRxtZbfNsse99,0.687,0.792,-2.749,0.0452,0.191,0,0.167,0.671,100.015,84
5cF0dROlMOK5uNZtivgu50,0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,84
2Z8WuEywRWYTKe1NybPQEW,0.645,0.713,-5.355,0.0393,0.00835,0,0.113,0.566,74.989,83
6Z8R6UsFuGXGtiIxiD8ISb,0.655,0.819,-4.852,0.0316,0.000176,0.00374,0.104,0.766,117.956,83
2JzZzZUQj3Qff7wapcbKjc,0.689,0.481,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,83
4HlFJV71xXKIGcU3kRyttv,0.673,0.886,-4.44,0.0431,0.185,0,0.0826,0.795,97.012,83
3KkXRkHbMCARz0aVfEt68P,0.76,0.479,-5.574,0.0466,0.556,0,0.0703,0.913,89.911,83
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,-2.729,0.0618,0.193,0,0.064,0.681,82.014,83
