danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
0.514,0.73,-5.934,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,92
0.545,0.545,-7.362,0.107,0.667,5.48e-05,0.417,0.549,159.94,88
0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,87
0.449,0.585,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,85
0.31,0.7,-5.678,0.047,0.011,0.00965,0.0828,0.763,188.386,85
0.79,0.67,-5.527,0.105,0.377,2.32e-06,0.119,0.408,139.956,81
0.766,0.295,-7.893,0.0464,0.947,4.44e-05,0.119,0.805,136.016,81
0.743,0.836,-6.465,0.116,0.0804,0,0.384,0.82,113.375,81
0.531,0.803,-3.284,0.0717,0.0796,1.71e-05,0.176,0.221,142.113,80
0.532,0.623,-9.208,0.0331,0.538,7.28e-05,0.0925,0.403,89.937,85
0.575,0.386,-9.584,0.037,0.785,0.000289,0.229,0.466,116.408,82
0.773,0.47,-7.93,0.0299,0.0153,0.000193,0.0851,0.399,94.995,79
0.666,0.423,-8.012,0.043,0.494,0,0.106,0.154,129.89,78
0.391,0.815,-6.197,0.0518,0.0177,0.00226,0.276,0.647,84.383,77
0.634,0.551,-7.136,0.0352,0.00737,1.82e-05,0.07,0.453,151.779,77
0.457,0.551,-9.36,0.167,0.427,1.15e-06,0.113,0.428,89.87,81
0.374,0.568,-3.825,0.109,0.219,0.00219,0.513,0.111,84.733,79
0.553,0.413,-10.037,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,79
0.654,0.929,-5.906,0.0998,0.0468,0,0.0539,0.902,144.774,77
0.724,0.498,-13.083,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,77
0.501,0.0958,-15.605,0.0433,0.77,0,0.298,0.204,108.741,79
0.542,0.914,-4.747,0.113,0.0161,0,0.744,0.576,153.993,79
0.93,0.774,-4.203,0.0744,0.605,0.0238,0.12,0.781,116.972,77
0.509,0.547,-6.548,0.0417,0.399,0,0.215,0.197,109.436,77
0.633,0.634,-12.115,0.0725,0.038,0.0064,0.0385,0.872,100.499,76
0.861,0.647,-7.425,0.0675,0.594,0.661,0.114,0.67,158.037,79
0.81,0.793,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,76
0.898,0.283,-12.335,0.356,0.319,0.000383,0.11,0.469,138.97,76
0.827,0.768,-5.702,0.265,0.79,2.45e-05,0.497,0.734,99.988,75
0.578,0.43,-6.134,0.0305,0.33,0,0.0854,0.288,78.991,75
0.587,0.229,-11.254,0.128,0.92,0,0.1,0.379,75.67,74
0.797,0.872,-6.727,0.0575,0.291,0,0.284,0.866,129.885,74
0.425,0.732,-6.883,0.0396,0.00194,0.0103,0.171,0.333,117.98,73
0.679,0.516,-6.371,0.0452,0.199,0,0.0965,0.716,120.074,73
0.652,0.609,-7.519,0.037,0.263,0.00101,0.233,0.482,95.986,73
0.261,0.703,-7.871,0.0414,0.115,0.00078,0.102,0.405,83.495,72
0.519,0.46,-14.53,0.0688,0.823,5.97e-05,0.243,0.675,132.082,72
