name, artist, id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
i want to be by your side (feat. herhexx),EKKSTACY,1Ao41SEp170gHWhGS4m0tM,0.75,0.593,-12.074,0.0331,0.0792,0.785,0.283,0.846,119.985,40
Polly,Dora Jar,0AaJgZIw1lJjc4QejCEpAu,0.746,0.912,-6.178,0.0504,0.138,0.245,0.115,0.756,90.011,46
Act Up,Terry Presume,1Oqr9YhCi3JmuHcyHDBhf8,0.746,0.759,-6.379,0.106,0.296,0,0.105,0.776,102.012,54
HEAVY METAL,Paris Texas,35ZDgSGHRkV04aYdkP1VfI,0.736,0.482,-9.981,0.305,0.71,0,0.221,0.442,115.02,39
23,Wallice,3GlGzfwUr7SQPsLC9WsOLJ,0.575,0.593,-4.973,0.0391,0.231,0,0.0884,0.598,133.664,58
Chaise Longue,Wet Leg,7iqAuZe5yS0suLQcFfVK39,0.684,0.749,-6.565,0.06,0.00135,0.111,0.141,0.935,160.021,62
Strawberry,Doss,0kttqKdToPQupUgaBto3UM,0.397,0.922,-6.239,0.0429,0.00776,0.772,0.338,0.0683,102.989,42
Jazz Club After Hours,Barry Can't Swim,0nPoWlU7nIz74B6px39NMz,0.724,0.681,-10.32,0.0378,0.0635,0.938,0.329,0.439,119.012,48
Crush,Ethel Cain,78sdhV2qA9aFFzwhPdEQh5,0.529,0.356,-10.942,0.0288,0.0276,0,0.108,0.223,94.952,67
Crying,Pom Pom Squad,5ZVlnixH0HeB6igKEkoO9f,0.218,0.713,-5.982,0.0405,0.00189,0.00151,0.31,0.234,207.008,36
soft spot,piri,3BBFjy5w9S66h3ys6cQtvI,0.646,0.654,-7.829,0.0543,0.0215,0.0242,0.152,0.456,169.962,54
FMRN,Lilyisthatyou,6k6egroLMoShmt63RwaK4S,0.724,0.586,-7.776,0.119,0.374,0,0.101,0.835,89.976,60
Every Day the Sun Comes Up,DJ Counselling,6IgxlOpJ1o16NqJtNQwAUo,0.588,0.782,-10.453,0.0378,0.042,0.898,0.111,0.127,121.996,36
MY STORY (DLOG),Mike Dimes,458QnarswOrqqJB84qVdOw,0.934,0.251,-15.995,0.5,0.277,0,0.154,0.692,140.933,49
A Song About the Sun,Kurtis Wells,2ylXMli4RzeVjIhRsjdoWn,0.664,0.692,-6.836,0.0268,0.00313,0.000213,0.104,0.182,129.95,44
Color Palette,Araya,3Gj0qNysd84rZZDvFsLMdU,0.392,0.772,-7.643,0.291,0.469,0,0.141,0.26,89.969,29
Like the Movies,Laufey,1hUXDEqjNIIbfjTcaz3jzb,0.575,0.274,-10.242,0.035,0.908,8.67E-05,0.146,0.214,87.13,67
David,TOLEDO,0VHS1bzjUYPQUUdsveukVU,0.575,0.282,-16.917,0.0285,0.914,0.0371,0.138,0.382,75.485,31
Wrong with u,ego apartment,476F7Wdh2LQLBbf3guDfIQ,0.507,0.575,-9.043,0.273,0.901,0,0.0859,0.766,179.699,33
In My Way,Julia Wolf,3AOUYGyqGHbLFfqqw0cyzi,0.781,0.407,-9.695,0.143,0.325,0,0.153,0.314,91.046,35
All I Need,FACESOUL,5ed3H9JNDRtTomjDegQUOI,0.612,0.27,-12.917,0.0337,0.739,3.92E-05,0.148,0.0398,82.012,26
Blessed,August Charles,21EWgcbSOPGQ9hRvMOlLCi,0.667,0.355,-10.013,0.0479,0.547,8.67E-05,0.134,0.241,141.876,55
Low Era - Edit,Geese,5RuSAk0rjCUXmZPGDxZf0w,0.681,0.725,-7.254,0.0349,0.00036,0.000152,0.0732,0.397,110.868,29
concussion,girlhouse,1h1w9olosnfBLzkRGsceCe,0.554,0.477,-8.335,0.0247,0.801,0.00552,0.0944,0.195,167.973,55
PINE,Unusual Demont,6ugOSYzHQ7NbX02iMqXIZi,0.675,0.609,-8.449,0.0993,0.0219,0,0.171,0.612,99.961,47
I'm Not In Love,Ber,7gEw6TDaj60NOibnidPBix,0.896,0.406,-8.326,0.11,0.384,0,0.0578,0.964,127.088,56
Sinatra,Forrest Nolan,1USo158Kncaxfyq9q306dn,0.444,0.301,-8.88,0.0334,0.886,0,0.183,0.35,95.278,53
Off My Mind,Joe P,7n6QMW76A5qgfn0Mb4aL7i,0.574,0.664,-7.713,0.0334,0.305,2.29E-05,0.143,0.727,111.933,64
i'll do it again,Prentiss,1NVBzBSEMTvSfObaV3lwc8,0.648,0.626,-4.841,0.0364,0.0973,0,0.121,0.254,139.843,24
GUM,ill peach,7HO5QGBU5COHjt0o7Vz62R,0.683,0.557,-5.174,0.0236,0.344,0.0111,0.162,0.758,104.969,41
Suburbia,Devon Again,48S4mJNtmuC16ptPecFGIh,0.636,0.469,-6.883,0.0402,0.213,0,0.0661,0.561,78.015,48
Second hand embarrassment,underscores,1PEPcLm2QEo0HCRIhQjPq1,0.792,0.45,-5.864,0.0882,0.171,0.0018,0.123,0.785,77.003,46
she calls me daddy,KiNG MALA,4nBsvvjN134KFVcvFMLWwK,0.796,0.426,-7.994,0.0324,0.031,0.00446,0.171,0.572,100.006,60
babyur2nice,patchymate,0OmJlR4IEktvY7RzpakxVk,0.74,0.646,-5.838,0.375,0.0766,1.15E-05,0.386,0.776,127.896,35
AHHHH!,Teen Jesus and the Jean Teasers,6Pfma5baS7P2EIjn3Htj9q,0.447,0.936,-4.985,0.0633,0.000272,0.00403,0.117,0.598,153.992,48
" It's not you, It’s Me - Club Mix",jamesjamesjames,2CKrEKGMFoPzagBkhocFKW,0.641,0.893,-8.846,0.0414,0.131,0.723,0.105,0.566,134.988,27
Constellations,Jade LeMac,6XZFPFanJb6RKGvuAAv3g8,0.58,0.658,-6.671,0.0389,0.219,0,0.0577,0.159,74.984,54
You Could Be,Anz,56tNMHvbcFPvYiDxA7xROH,0.712,0.818,-5.162,0.0368,0.0123,0.141,0.0499,0.52,124.012,47
You Want Everyone to Love You,Bestfriend,21yPwIPwerL4pxf19LvEGn,0.552,0.389,-12.527,0.0334,0.608,0.0894,0.111,0.147,110.012,37
summer on the inside,warner case,1VrS7b7ieSGQIhEauDzm7N,0.833,0.821,-7.862,0.0711,0.455,0.638,0.484,0.783,120.79,56
Goodmood,Nabes,4arIMs14aBJkAfWe2alHUQ,0.774,0.61,-6.653,0.293,0.237,3.91E-06,0.22,0.644,99.035,52
Right Where You Like,Andrea Chahayed,1ubWQBaUVvBw764iEL4DJ8,0.802,0.613,-10.494,0.048,0.328,0.00907,0.188,0.581,113.033,39
EXCEPTIONAL,veggi,02oVra8RWdAYaKbdinrfRC,0.726,0.489,-9.344,0.484,0.301,1.72E-05,0.263,0.447,115.195,62
Gët Busy,Yeat,2JhU9tkEJqUsjjr37cIpdG,0.66,0.58,-9.921,0.0393,0.0372,0,0.116,0.115,139.902,54
Parallel Parking,Arden Jones,4njf8PZi95E9ISlQVXXPyl,0.587,0.638,-4.177,0.313,0.14,0,0.0964,0.76,168.153,60
Plant!,Flowerboy,53oZXP24LECwD6YBybecvG,0.606,0.793,-8.573,0.0785,0.768,0,0.112,0.743,158.994,33
murder party,NOT THE MAIN CHARACTERS,3pDmOyJZqUPrlnarAZQzaf,0.724,0.564,-8.552,0.152,0.16,0,0.129,0.482,130.02,55
see you later (ten years),Jenna Raine,7FKkswFflI5Txc3Y4gH0IB,0.576,0.467,-6.435,0.0305,0.257,0,0.13,0.234,86.011,70
Learning To Live Without You,Hajaj,2cEMwE3n0z4Uw4xVwNqDst,0.559,0.237,-15.007,0.0537,0.747,2.05E-06,0.125,0.174,67.442,53
Superstar,Boyish,1dtxr4bhyFnGxEt4bwPEeH,0.662,0.629,-7.879,0.0262,0.313,0.0325,0.219,0.503,111.026,41
Pink Slips,Jenna Doe,3YmZVcLHWCjMlHfLaM7nTf,0.571,0.619,-6.612,0.0558,0.186,7.77E-05,0.0744,0.152,126.953,55
Butterfly,Deijuvhs,4BeYJ0wIwouR1RgEWqkOwB,0.592,0.859,-6.948,0.064,3.40E-05,0.904,0.137,0.843,155.002,33
soda stain,The Golf Club,77GEf9fKSwqfxM26VJs7UK,0.614,0.439,-8.854,0.533,0.527,1.04E-05,0.295,0.716,101.421,32
Mr. Perfect Freestyle,Al-Doms,6vPoV2IMUS7ALs7G3SPe6c,0.822,0.748,-6.956,0.235,0.000738,0,0.393,0.348,96.016,19
Desert Star,Ruby Red,4uiF1V2eIPSMgR2V4smhCC,0.789,0.408,-8.07,0.036,0.231,0.00797,0.0829,0.491,136.979,37
PINCH ME,young friend,14QUJhbXCWO90NfZ0mXnGG,0.777,0.465,-10.55,0.0501,0.621,0,0.0932,0.757,113.003,66
BACC WEST,YSB Eli,4NPMw50wQZHINMjzGYs4xr,0.859,0.59,-8.265,0.761,0.0304,0,0.0893,0.49,155.118,20
forest ave,Sfven,5erRkajLz0wfz4VRks4adQ,0.614,0.437,-9.215,0.0609,0.518,0.00387,0.205,0.168,71.638,18
Flew By You,KayCyy,3BpOgYL0N3Bv33cj8hQY8i,0.805,0.357,-10.958,0.349,0.0121,4.94E-05,0.0842,0.139,155.966,29
Pushin' Thru It,James Ivy,2zdl37IauOeAFxgJsEFVMo,0.355,0.84,-5.169,0.0747,0.00447,1.25E-05,0.065,0.266,187.306,32
