id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
2GkjgiuBawwpL48d0TGQEL,0.63,0.402,-6.436,0.0269,0.599,0,0.0925,0.355,105.136,63
6319BpXP42QAaXeELaPLmU,0.732,0.607,-7.867,0.118,0.526,6.06e-06,0.108,0.432,136.037,54
6Xg1rmRgThaAwPp0X6G2Ac,0.379,0.589,-4.708,0.0367,0.109,0,0.149,0.0802,141.549,46
7DAuQoUWFq40NBVXwWs4xU,0.728,0.606,-8.657,0.228,0.25,0.00878,0.13,0.497,130.059,43
4WAXcK0n5Thc1DD2f3pv9O,0.558,0.491,-8.722,0.0311,0.828,2.32e-05,0.114,0.337,80.01,33
4koPlGtAIvagp7QNZCgCOU,0.526,0.904,-6.092,0.0493,0.121,0.917,0.298,0.11,169.976,41
0LH1V0ZodNOfM7jnqyO9S5,0.521,0.572,-4.329,0.342,0.0229,6.69e-06,0.587,0.109,77.606,43
1sEIkVGd7fG4K5wFQS6f6y,0.702,0.783,-5.204,0.23,0.031,0.032,0.0889,0.667,187.986,68
3EwCOs6Dh5tlsbIpvMjH4I,0.675,0.576,-8.332,0.0517,0.154,0.00154,0.163,0.562,136.024,60
0DYIVjRfixT8rHJyBkW3ns,0.401,0.289,-11.434,0.0305,0.082,0.0154,0.101,0.132,104.461,46
2mu4GuE7tG8vAiFsXgSQYC,0.587,0.453,-13.782,0.0376,0.83,0.0808,0.125,0.61,138.307,31
0OuU7OaaKhuxBUu55FoHqF,0.656,0.62,-7.312,0.0357,0.0697,0.125,0.11,0.496,127.442,37
0QYmK7nMOZMAJzV4DHVWg4,0.298,0.517,-13.548,0.0652,0.0997,0,0.402,0.236,110.131,28
6Ik8WjZ70Mz5vKHWmQdvsz,0.521,0.573,-12.201,0.0385,0.368,0.671,0.0992,0.238,186.004,42
0yGbLny28yRcgr1S13lluW,0.781,0.594,-9.325,0.398,0.244,0,0.193,0.696,119.938,29
14SIPzOUdXpVCUQFxbGOGH,0.883,0.72,-6.86,0.165,0.0287,0.00362,0.122,0.851,116.03,40
12316rlI7Mrr3cBNCMCOEV,0.627,0.714,-9.773,0.0442,0.151,0.79,0.275,0.116,119.975,26
0Ie4efigGoljFOwkehIUfA,0.525,0.539,-8.653,0.373,0.468,6.31e-06,0.102,0.532,112.938,43
3luCfdUPwws6omTEmIUKXX,0.697,0.457,-8.137,0.19,0.161,1.61e-05,0.0948,0.596,112.841,41
6IksI018PglNFPUL40pxit,0.485,0.331,-13.101,0.165,0.952,0.0469,0.367,0.359,129.28,40
6k2qNuSSwA3qK0af7Lz2N5,0.457,0.737,-6.342,0.0383,0.0182,4.5e-05,0.116,0.217,106.907,44
14wCCWEzzUsjRl8BPosbPc,0.704,0.571,-12.322,0.0413,0.000382,0.893,0.0976,0.0518,123.995,40
4oNy9UwKYH13qf1Ze4q2oy,0.601,0.788,-5.753,0.14,0.00148,0,0.217,0.46,127.715,24
1oKFu1naQxh16g1BgV2nBm,0.647,0.88,-6.301,0.0344,0.0548,0.0716,0.0936,0.545,134.974,38
7ul0qSFpZHXS8XncqBNIwS,0.812,0.0515,-15.321,0.189,0.817,0,0.121,0.54,111.509,49
0GHZOdTKBL7fQmjxErlIk7,0.576,0.701,-5.867,0.0298,0.031,5.42e-05,0.533,0.423,134.976,35
2jZVRBClSWt3Vc9fPkyRCi,0.531,0.869,-3.856,0.0299,0.000222,0.076,0.181,0.78,134.048,42
1pkmICGyr4tAx6b6R8XChw,0.872,0.613,-13.412,0.333,0.202,0,0.111,0.655,138.033,31
3cHpV6qi0i8ql2gSivsv6f,0.152,0.367,-11.307,0.0331,0.466,0.00131,0.107,0.114,188.377,31
7h6cq66n90o83KGJyDixU6,0.564,0.462,-9.876,0.0444,0.691,0.00214,0.146,0.285,150.048,38
6xShwxe9hzJuKOsjVyoSSQ,0.742,0.677,-5.255,0.0658,0.146,0.000126,0.131,0.291,101.971,41
3fqtaJw0jWr6JMA6Je2ctT,0.577,0.622,-6.23,0.206,0.232,0.00891,0.101,0.486,98.764,30
7v49EPpVWj3objud2oBmux,0.718,0.798,-3.941,0.281,0.146,1.54e-06,0.0728,0.538,176.131,38
5jjmzCnRglEY9RXYgESA4v,0.692,0.401,-7.364,0.0287,0.508,0.00206,0.163,0.0566,113.029,33
707DkaerHk1Ad2uySczdR4,0.719,0.572,-10.991,0.0616,0.174,3.05e-05,0.354,0.544,139.959,50
0ikubwVXWkOeYH3HFhXMfK,0.626,0.418,-10.6,0.0255,0.447,0.00581,0.227,0.589,97.961,45
72eEo9T5kX5DQ7KddatEma,0.842,0.204,-13.953,0.0736,0.0978,0.00072,0.113,0.482,97.986,33
4ZVB3sYAsN7F94o27iBzkZ,0.619,0.767,-5.546,0.0264,0.00241,1.32e-05,0.102,0.299,108.049,39
2dWQBlnjp91yZhJZ9V8NgT,0.612,0.67,-7.195,0.0886,0.108,0.849,0.0899,0.557,169.989,38
6YEieB26LDm0gxKZSnIgus,0.571,0.684,-10.078,0.393,0.019,8.3e-06,0.137,0.287,129.557,22
1Bzx8M2az8q6wnoXOhK3uw,0.271,0.926,-3.979,0.0442,0.00819,0.927,0.197,0.418,148.008,26
2CRNlAT8872weon0PKuks2,0.524,0.432,-10.202,0.0378,0.628,5.57e-06,0.467,0.35,142.818,34
2hKfPmpLjV2yOhZm6VxQNR,0.57,0.449,-8.752,0.028,0.287,8.14e-06,0.0973,0.42,94.999,31
2jVmmqqKTyauM6uEbVh7UX,0.674,0.266,-13.214,0.0865,0.696,0.00306,0.114,0.222,174.029,36
2AuzwkxwZePrxjiMXQC71v,0.294,0.977,-3.936,0.173,0.00426,1.33e-05,0.0582,0.452,106.0,30
4Hu99lnB5haI3J6peroaV0,0.745,0.288,-10.861,0.0817,0.884,0.3,0.225,0.557,96.012,36
2c3XIMJAVamccsVxTv8Pxi,0.591,0.449,-7.842,0.0288,0.438,0.284,0.148,0.494,88.016,23
2mI4R8Mafb3y6I1gytvkDe,0.73,0.48,-12.699,0.386,0.485,0.000202,0.106,0.477,87.12,48
6pQEztfgRIKQGSPrP47xfI,0.594,0.615,-7.633,0.0851,0.355,0,0.0884,0.2,137.901,33
5kof0wKoIbohhml6jDy4MJ,0.67,0.45,-7.874,0.0296,0.3,5.06e-05,0.104,0.451,80.002,47
6XaQLfoH2ux5QUChQyYZrh,0.518,0.91,-9.837,0.0469,0.00166,0.919,0.159,0.595,160.909,20
0B6xHxWg4g7C9174Cx1d0m,0.417,0.293,-14.198,0.0277,0.851,2.13e-05,0.113,0.479,96.464,17
7DNLNZ7ygyHB6dPIiEdyyx,0.812,0.422,-12.073,0.119,0.0734,0.622,0.207,0.816,116.029,40
3NlJsIgHPFhEPUoTCmXV9A,0.668,0.637,-8.727,0.063,0.495,0.88,0.12,0.0388,117.029,53
1YFJ3vuo4iI2Mpqc8575gU,0.488,0.989,-5.411,0.0843,0.00743,2.68e-05,0.233,0.716,169.958,29
1Z3e5sa5iEL5lQ3ugVnrci,0.403,0.839,-5.198,0.112,0.135,0,0.368,0.523,179.89,27
7hdes67sicWJ4oR1zVchuQ,0.543,0.274,-10.605,0.0543,0.873,1.73e-06,0.101,0.362,82.802,36
7blkRh7tuVr3pPkMDzDeuk,0.556,0.456,-8.733,0.0924,0.0353,0,0.0916,0.2,169.979,36
1zr0W4cO9NgF0FMWs84yUU,0.468,0.403,-10.886,0.0725,0.433,0.0198,0.294,0.394,125.187,26
2OgWSf0g7dSE1wIshkuRCB,0.709,0.495,-11.2,0.0424,0.336,0.0011,0.187,0.463,98.058,37
2bZvmKO6pUFU29oPvCaenF,0.551,0.594,-5.468,0.0281,0.514,8.59e-06,0.124,0.308,130.098,44
1a3G2HBJnMnr6lB52tt30M,0.736,0.684,-6.688,0.0692,0.382,0.00535,0.101,0.43,134.981,29
70V8LBQ8v5PlyYf5itw3ye,0.74,0.637,-8.289,0.0425,0.0865,0.87,0.142,0.162,127.997,17
3oFUg8Q6XvwiBud5ucclKG,0.752,0.442,-9.717,0.415,0.482,7.47e-05,0.652,0.757,176.045,24
0kUYoCE78GWDwGb0wT0YN7,0.464,0.24,-11.355,0.0289,0.82,0.000108,0.108,0.3,139.094,22
2WyoPVL0Ad3bNpI1qYB4UU,0.501,0.3,-9.58,0.0357,0.829,0,0.149,0.209,97.033,15
6XebDOvdSMKT3rpqs8whQ2,0.514,0.559,-7.284,0.0339,0.598,0.00347,0.119,0.0532,132.928,17
1B2swVLQqzG52TSqfaTE1N,0.59,0.784,-5.712,0.0334,0.186,4.59e-05,0.077,0.302,109.971,28
4e1DrOj0LNZzNyOX0PxN3i,0.59,0.461,-8.175,0.13,0.524,0.00215,0.0849,0.332,178.01,29
1xZTsL97cfAnBp2JD6IPYg,0.587,0.309,-12.036,0.0787,0.413,0,0.257,0.292,138.677,18
4ZVAgzQHzdb30HI5tGlriR,0.465,0.506,-8.06,0.0698,0.621,0.0193,0.102,0.798,82.03,29
6WStywwdXvHnSZ0lErMJXW,0.565,0.316,-12.792,0.0292,0.9,4.33e-05,0.119,0.323,136.003,29
6ju4VPjmZhm3F64pfEdi4U,0.559,0.371,-9.113,0.0316,0.729,3.31e-06,0.137,0.126,96.016,37
6hbSCFjiWeL9vmOvoA7xvp,0.697,0.334,-9.781,0.0273,0.872,0,0.197,0.311,124.006,47
5hrmGj3Tk3OS1TdJKwgXQo,0.69,0.577,-7.879,0.0478,0.148,2.51e-06,0.371,0.821,150.016,31
2BwRgDsgxTgfi5AldbGATC,0.764,0.387,-12.273,0.203,0.382,0,0.124,0.739,100.033,23
0hawbqSI8Bos8zeZo05WzP,0.608,0.904,-7.596,0.0372,0.000533,0.799,0.063,0.325,130.01,16
37X6Jr8cHBOCD9tsuv25MA,0.281,0.318,-13.137,0.0411,0.697,0.0709,0.117,0.0655,84.104,34
2l7p4iu0XS4XRBnm0pWUec,0.544,0.461,-8.089,0.0313,0.0362,0.000433,0.115,0.282,168.948,26
17xba4xQ0g7JbC74SFuRRA,0.612,0.55,-9.279,0.167,0.139,0,0.421,0.177,156.027,44
6xMUlD4v4cSSjk3h1JdMvp,0.566,0.49,-13.106,0.214,0.276,0.00804,0.111,0.384,180.078,27
5UWTtkrcnVXqkjdes4fX0W,0.41,0.677,-6.968,0.0312,0.296,1.73e-05,0.0854,0.168,133.429,22
4wfbsHukb95LmqXmcKLUtx,0.602,0.579,-9.344,0.193,0.182,0.00399,0.197,0.474,174.079,22
0O5qzkyLTs1p9eFV4lQUlq,0.56,0.815,-4.654,0.0372,0.0293,0,0.125,0.346,122.071,44
2q0tXYrmTICJmN8w6Oq69V,0.601,0.631,-5.622,0.0625,0.675,0.116,0.241,0.565,157.25,38
4SXkaKTMlHDMCPTglsQpvV,0.745,0.699,-8.967,0.0589,0.0477,0.0403,0.078,0.923,163.95,27
1Z11VyovU8QADpZMpUWd8w,0.611,0.581,-11.201,0.0357,0.119,0.673,0.113,0.527,99.973,32
5eGM1tVC9KclMgnD7rcb1v,0.411,0.924,-3.689,0.0686,0.0192,0.0312,0.0926,0.744,169.881,20
69Y0yA4nnc3FVsJINPSfIS,0.75,0.64,-5.398,0.044,0.371,2.95e-06,0.0991,0.457,90.002,23
5qHKy3c40Ol2N80lEqQdHW,0.418,0.176,-17.62,0.0417,0.911,0.203,0.118,0.252,107.256,22
5GiAMmiFKP3iLlZ0qirBKf,0.429,0.763,-8.559,0.0587,0.00104,0.217,0.126,0.465,97.427,19
6AEGEWR9iweeQhG6JuUVQC,0.589,0.992,-1.751,0.0709,0.00694,0.0201,0.522,0.415,142.979,28
7pVS9LYEq5zxFtPjRszR55,0.727,0.811,-9.191,0.0431,0.502,0.841,0.0916,0.133,111.995,22
5K2Pxa2zSpIk2ROgRa9jUc,0.727,0.565,-8.853,0.0594,0.00438,0.00791,0.226,0.174,139.781,51
6XMBQ2Dk9oQoXBfoI53Sqt,0.638,0.825,-4.33,0.0405,0.0225,0.699,0.137,0.189,138.002,43
1Rj9W0To9l7RQSesGwigNv,0.632,0.567,-6.861,0.0257,0.17,3.9e-05,0.355,0.825,82.959,37
4vxPfYUYtMNn3pCIjsIMG0,0.638,0.423,-7.195,0.0323,0.362,0,0.0846,0.469,85.917,51
4pg7v1l4E54OSfojSVa6RL,0.694,0.874,-7.551,0.326,0.166,0,0.316,0.517,122.757,50
3vKAQFXRh0lkJdPuS5pclq,0.684,0.686,-4.833,0.0287,0.171,0,0.173,0.501,110.476,47
4B6eD1nzrz6PNOLMgtT7VX,0.669,0.622,-8.359,0.0881,0.0997,0.0011,0.219,0.456,135.974,60
