id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
2YpeDb67231RjR0MgVLzsG,0.878,0.619,-5.56,0.102,0.0533,0,0.113,0.639,136.041,78
2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,-10.965,0.375,0.328,0.13,0.1,0.562,135.128,84
6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,-6.049,0.029,0.0392,0,0.0828,0.749,116.967,82
6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,-10.732,0.334,0.592,0,0.0881,0.327,140.048,85
0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,-4.368,0.0575,0.533,0,0.0685,0.925,89.96,83
1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,-5.707,0.157,0.117,2.06e-05,0.105,0.564,169.994,90
5p7ujcrUXASCNwRaWNHR1C,0.752,0.488,-7.05,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,77
2qxmye6gAegTMjLKEBoR3d,0.652,0.557,-5.714,0.0318,0.74,0,0.124,0.483,150.073,85
2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,-6.362,0.0308,0.371,0,0.231,0.323,95.799,85
2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,-12.21,0.0363,0.0933,0.000927,0.115,0.166,100.966,85
7qEHsqek33rTcFNT9PFqLf,0.501,0.405,-5.679,0.0319,0.751,0,0.105,0.446,109.891,89
0u2P5u6lvoDfwTYjAADbn4,0.351,0.296,-10.109,0.0333,0.934,0,0.095,0.12,115.284,89
2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,-3.714,0.222,0.00513,0,0.124,0.446,155.008,84
0Oqc0kKFsQ6MhFOLBNZIGX,0.641,0.559,-11.132,0.0355,0.404,0.00402,0.0937,0.523,144.982,84
21jGcNKet2qwijlDFuPiPb,0.695,0.762,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042,87
1dGr1c8CrMLDpV6mPbImSI,0.359,0.543,-7.582,0.0919,0.492,1.58e-05,0.118,0.453,68.534,87
5hVghJ4KaYES3BFUATCYn0,0.554,0.498,-8.866,0.0685,0.23,5.98e-06,0.795,0.413,79.635,83
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,-2.729,0.0618,0.193,0,0.064,0.681,82.014,83
2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,-11.713,0.276,0.149,0,0.271,0.463,123.984,83
43zdsphuZLzwA9k4DJhU0I,0.367,0.111,-14.084,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,84
4l0Mvzj72xxOpRrp6h8nHi,0.488,0.343,-8.985,0.0436,0.556,0,0.21,0.0978,102.819,83
4Of7rzpRpV1mWRbhp5rAqG,0.736,0.308,-7.83,0.0677,0.946,0,0.186,0.361,111.202,82
2t8yVaLvJ0RenpXUIAC52d,0.837,0.636,-7.643,0.086,0.0395,0.00125,0.342,0.274,145.972,82
7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96,83
3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,-5.634,0.0658,0.229,0,0.101,0.412,106.966,82
2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,-6.365,0.0905,0.259,0,0.252,0.544,86.003,82
22vgEDb5hykfaTwLuskFGD,0.842,0.734,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,82
1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,81
6iaSML1PIYq936g62BDtBq,0.623,0.692,-5.122,0.0504,0.328,0,0.153,0.566,79.899,81
7DnAm9FOTWE3cUvso43HhI,0.72,0.706,-4.719,0.0473,0.0684,0,0.166,0.62,133.002,81
6RRNNciQGZEXnqk8SQ9yv5,0.771,0.671,-5.617,0.0553,0.00929,0,0.0637,0.714,85.026,81
2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,-4.258,0.0874,0.177,6.43e-05,0.106,0.884,117.948,81
7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,-5.804,0.04,0.331,0,0.135,0.341,145.038,82
0Ryd8975WihbObpp5cPW1t,0.4,0.795,-3.731,0.461,0.119,0,0.159,0.702,190.097,80
60iSKGrGazRzICtMjADNSM,0.688,0.53,-5.507,0.0333,0.443,0,0.0995,0.162,106.958,80
5w9c2J52mkdntKOmRLeM2m,0.737,0.86,-2.652,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,79
6zeeWid2sgw4lap2jV61PZ,0.596,0.552,-10.278,0.097,0.0765,0.334,0.104,0.112,97.949,79
3gE4eQH3K83Sght0ZLvuBK,0.816,0.538,-6.354,0.0617,0.0142,0.000496,0.099,0.156,97.054,79
6uFn47ACjqYkc0jADwEdj1,0.772,0.639,-7.119,0.467,0.15,0,0.0698,0.261,168.112,79
27rdGxbavYJeBphck5MZAF,0.601,0.794,-5.844,0.0671,0.00987,1.36e-06,0.388,0.244,114.066,79
6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,79
3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,-5.075,0.0413,0.407,0,0.148,0.536,96.057,79
0t3ZvGKlmYmVsDzBJAXK8C,0.548,0.653,-3.875,0.081,0.456,0,0.103,0.163,150.068,80
4a9tbd947vo9K8Vti9JwcI,0.645,0.862,-4.761,0.0845,0.0933,0,0.193,0.803,119.947,78
2XU0oxnq2qxCpomAAuJY8K,0.824,0.588,-6.4,0.0924,0.692,0.000104,0.149,0.513,98.027,78
5ry2OE6R2zPQFDO85XkgRb,0.831,0.502,-4.045,0.046,0.101,0,0.122,0.101,100.541,78
3z4CGd63tpUn9a6oQSG0CI,0.812,0.496,-5.969,0.297,0.271,0,0.0955,0.55,109.979,78
2TH65lNHgvLxCKXM3apjxI,0.61,0.624,-4.773,0.309,0.6,2.12e-06,0.243,0.244,176.169,78
4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,-5.29,0.0917,0.0421,0,0.106,0.335,169.999,78
0F7FA14euOIX8KcbEturGH,0.907,0.53,-6.112,0.127,0.0578,2.23e-06,0.101,0.507,135.998,77
2wrJq5XKLnmhRXHIAf9xBa,0.654,0.63,-4.644,0.0259,0.153,0,0.111,0.43,89.991,77
1DFD5Fotzgn6yYXkYsKiGs,0.677,0.744,-6.806,0.0295,0.0404,0.00016,0.074,0.631,124.08,77
5WHTFyqSii0lmT9R21abT8,0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,77
0FZ4Dmg8jJJAPJnvBIzD9z,0.861,0.603,-5.788,0.176,0.0521,0,0.0924,0.504,98.043,77
6ZRuF2n1CQxyxxAAWsKJOy,0.61,0.725,-5.131,0.15,0.367,0,0.154,0.291,146.163,77
6hvczQ05jc1yGlp9zhb95V,0.763,0.835,-5.234,0.191,0.323,0.00221,0.225,0.645,131.875,77
6oJ6le65B3SEqPwMRNXWjY,0.693,0.678,-7.159,0.0324,0.0151,5.71e-06,0.101,0.404,103.952,77
5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,-4.156,0.126,0.602,0.00853,0.136,0.706,91.987,77
3j84U36KvLeXNDPv4t5pI8,0.682,0.559,-5.545,0.127,0.174,0,0.344,0.137,202.015,76
1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,-6.594,0.0897,0.223,0,0.104,0.877,151.891,76
3HWzoMvoF3TQfYg4UPszDq,0.715,0.624,-3.046,0.114,0.11,0,0.123,0.412,158.087,76
4t9a07PAghtQMRAIP9FQ7Z,0.795,0.783,-4.271,0.0432,0.361,0,0.437,0.799,92.01,76
6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,-7.513,0.0656,0.45,1.97e-06,0.222,0.347,102.998,76
4SSnFejRGlZikf02HLewEF,0.905,0.389,-14.505,0.332,0.74,0.162,0.106,0.196,120.046,76
7LpMG3AEaIJgs62HQhAa91,0.548,0.735,-7.572,0.236,0.173,0,0.195,0.498,101.252,75
5icOoE6VgqFKohjWWNp0Ac,0.791,0.565,-3.933,0.0439,0.0623,0,0.156,0.181,99.961,75
2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,-3.702,0.0882,0.0846,0.000289,0.0822,0.609,105.027,76
0PG9fbaaHFHfre2gUVo7AN,0.747,0.57,-6.711,0.081,0.0642,0,0.0832,0.65,133.992,75
6KgBpzTuTRPebChN0VTyzV,0.682,0.919,-3.18,0.0875,0.256,0,0.442,0.535,95.982,76
0hVXuCcriWRGvwMV1r5Yn9,0.798,0.676,-5.041,0.0442,0.0902,0,0.0894,0.843,101.956,75
5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,-4.218,0.0524,0.323,0,0.143,0.761,126.899,74
1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,-5.239,0.303,0.0153,0,0.111,0.434,93.023,74
0pEkK8MqbmGSX7fT8WLMbR,0.722,0.565,-5.848,0.0335,0.435,0,0.165,0.488,104.483,74
5BJMeoCXXgbRAWfp6fTulr,0.894,0.511,-4.768,0.421,0.0251,0,0.14,0.567,120.077,74
7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,-9.961,0.0536,0.288,0,0.243,0.228,143.883,74
5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015,74
4hPpVbbakQNv8YTHYaOJP4,0.659,0.625,-2.253,0.045,0.0644,0,0.582,0.442,88.042,74
2GGMabyHXnJmjY6CXhhB2e,0.95,0.59,-6.508,0.29,0.00534,0,0.11,0.219,130.003,74
0KoiMHhqKLoL4xM54rcWYY,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,74
70eFcWOvlMObDhURTqT4Fv,0.64,0.647,-8.114,0.186,0.124,0,0.0801,0.546,92.979,74
2x0RZdkZcD8QRI53XT4GI5,0.802,0.645,-6.181,0.0715,0.272,0,0.119,0.376,100.001,73
6b2RcmUt1g9N9mQ3CbjX2Y,0.477,0.682,-4.931,0.0925,0.153,0,0.0763,0.345,110.567,73
132ALUzVLmqYB4UsBj5qD6,0.767,0.709,-4.47,0.336,0.323,0,0.0745,0.72,171.993,73
1Ej96GIBCTvgH7tNX1r3qr,0.746,0.7,-4.669,0.341,0.136,0.000159,0.11,0.619,176.044,73
2Xnv3GntqbBH1juvUYSpHG,0.681,0.657,-4.671,0.0432,0.0748,0,0.353,0.628,130.089,72
0DiDStADDVh3SvAsoJAFMk,0.795,0.496,-5.883,0.0722,0.108,0,0.0645,0.874,94.01,72
5ls62WNKHUUrdF3r1cv83T,0.63,0.63,-6.211,0.0395,0.0131,0,0.142,0.163,80.512,72
6LsAAHotRLMOHfCsSfYCsz,0.692,0.809,-4.198,0.0602,0.524,0,0.147,0.864,123.911,72
1000nHvUdawXuUHgBod4Wv,0.703,0.594,-6.146,0.0752,0.342,0,0.123,0.475,153.848,72
44ADyYoY5liaRa3EOAl4uf,0.53,0.538,-6.672,0.0335,0.17,2.83e-06,0.248,0.288,148.051,71
6TqXcAFInzjp0bODyvrWEq,0.9,0.4,-8.575,0.127,0.0516,0,0.0599,0.346,135.984,71
2gwkD6igEhQbDQegRCcdoB,0.876,0.662,-6.482,0.426,0.0608,0,0.127,0.844,75.445,71
5KBARWIxeMGkvUax9VtVC9,0.899,0.811,-6.294,0.258,0.000677,0,0.0672,0.587,105.038,71
0rIAC4PXANcKmitJfoqmVm,0.599,0.887,-3.967,0.0984,0.0192,1.21e-06,0.3,0.881,170.918,71
5PYQUBXc7NYeI1obMKSJK0,0.77,0.882,-4.792,0.0602,0.194,0,0.316,0.385,99.991,70
59ywHNwwchG4nZJMLyxSzd,0.919,0.622,-7.384,0.0997,0.228,4.24e-06,0.122,0.424,140.022,70
7AODNxFNPnKaz4hURLzw5l,0.902,0.839,-9.447,0.208,0.0933,0,0.102,0.727,133.989,70
6V7g6qM8wheMivMWrzbPTM,0.792,0.743,-2.806,0.0851,0.107,0,0.183,0.742,150.024,69
2KKijf6Ett4kmVNJze2roh,0.847,0.678,-8.635,0.109,0.0669,0,0.274,0.811,97.984,69
2bjUEg4jBtKBlPdNrTAppI,0.562,0.46,-4.173,0.259,0.476,0,0.107,0.623,176.055,69
