id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
3GSYWQNnSdovwC2H8HpziA,0.549,0.24,-7.778,0.0338,0.947,0,0.106,0.167,119.58,51
1l9Q5NyhsyodDzIrdtJ6Ub,0.528,0.494,-8.262,0.0329,0.128,9.81e-06,0.379,0.201,140.153,36
7BNWtMbwnx7A2cbKVG7lhe,0.515,0.159,-8.972,0.0288,0.944,0,0.109,0.205,72.907,30
2wcs7pwj5bzhVodPO21O7S,0.383,0.186,-10.759,0.0305,0.899,3.31e-06,0.108,0.151,108.596,50
248wt1trbhwrNN5fBC3Q3W,0.396,0.127,-14.169,0.0339,0.978,1.4e-06,0.117,0.276,75.04,56
0qvzXomUDJVaUboy2wMfiS,0.677,0.401,-8.467,0.0308,0.712,0,0.116,0.195,111.825,80
39jXnbACjiaiTwwhsr5sY5,0.443,0.533,-6.548,0.0396,0.371,0,0.128,0.201,77.344,70
1hJ6KojJObbRvjuVj8Ezya,0.431,0.423,-8.623,0.0349,0.122,3.45e-06,0.0889,0.291,176.856,59
4WZT0Mi3tD0XrYRkkDlxNN,0.709,0.672,-7.991,0.034,0.306,0,0.117,0.818,126.974,54
5BpmwiKR6ns1EtfCQRpNUc,0.263,0.307,-9.724,0.0295,0.71,7.48e-06,0.337,0.239,182.082,66
7JyZzz4rMPMWMsb27vArSN,0.598,0.478,-11.304,0.0314,0.259,0.000321,0.0994,0.255,140.012,54
69GWewQgiJozsgSb9dDEgY,0.564,0.483,-8.105,0.0257,0.0654,3.17e-06,0.324,0.596,153.985,53
6wcFdMmiDscAhZJrcVFumx,0.843,0.553,-7.348,0.0317,0.168,2.66e-06,0.107,0.825,115.997,46
6S9G7J3EB1ZY0rrZPwsBg5,0.498,0.486,-7.384,0.0273,0.373,0,0.113,0.17,147.952,47
6HWYtS215rxaaMjvpyG18W,0.459,0.459,-4.126,0.0275,0.13,2.3e-06,0.113,0.281,134.018,46
7lxADouiWFkwR7ZV2GKUcH,0.529,0.67,-4.663,0.0303,0.117,0,0.334,0.286,141.893,62
1ubvV5ECkm6nSI6g1HmbBK,0.589,0.47,-5.32,0.028,0.166,1.45e-06,0.112,0.102,119.386,65
14LtANuaslKWyYbktUrHBU,0.455,0.623,-3.878,0.0288,0.0739,0.000424,0.146,0.208,163.893,64
6IH2Z54gYPLqgJtxZjX80i,0.541,0.453,-6.459,0.0266,0.748,0,0.2,0.377,141.757,56
1q3RiD1tIWUpGsNFADMlvl,0.602,0.609,-7.803,0.0243,0.0382,0.0002,0.127,0.337,93.06,62
7vvIpJZye5cRR6De1LKM0m,0.505,0.443,-7.039,0.0276,0.035,3.15e-06,0.0921,0.123,94.069,50
2wtHlpYSgC7xEdD3DrSHNL,0.706,0.499,-7.675,0.0369,0.0371,0,0.132,0.545,117.937,47
7gdwoOmi258QJq0hmQ4hto,0.624,0.458,-6.755,0.0287,0.36,3.89e-06,0.303,0.436,80.017,50
48A0aShHlovDfTMucMrE66,0.53,0.526,-8.349,0.0263,0.199,3.52e-06,0.232,0.323,79.025,47
7F5oktn5YOsR9eR5YsFtqb,0.661,0.151,-12.864,0.0354,0.921,0,0.13,0.23,94.922,73
3Hkl6rUihCZWKViOBBLgXO,0.577,0.479,-7.075,0.0262,0.653,0,0.119,0.501,83.946,31
6c6xJgk6Z7WElX8tRUdjZk,0.488,0.294,-14.717,0.0261,0.917,0.841,0.0876,0.26,76.647,36
5Ew219lXc4irtLe5l3MwxT,0.625,0.185,-13.177,0.0338,0.902,0.00554,0.0938,0.164,119.997,38
376Gg7Oxo5C5jUWDWpVXeI,0.716,0.519,-7.472,0.0554,0.554,0,0.0993,0.466,87.963,61
2IssBpPtHcViZL5vYQNHhA,0.737,0.451,-9.405,0.229,0.812,0,0.108,0.664,153.766,61
5EYBryPOgIEPB7r5QIy6eG,0.853,0.476,-6.696,0.0361,0.405,0,0.111,0.796,92.038,71
6nat4Z7iRKWVk1qngQqI0Q,0.361,0.311,-11.748,0.0369,0.872,0,0.0987,0.323,89.362,65
1N62wozuHCvczCkY4QidpP,0.592,0.729,-4.156,0.0448,0.022,0,0.0653,0.709,116.03,70
4IoYz8XqqdowINzfRrFnhi,0.338,0.803,-5.412,0.0413,0.0187,0,0.136,0.4,151.994,74
7a9udNo0GU97xnMAkjLdmE,0.519,0.275,-15.949,0.0383,0.645,0.135,0.356,0.113,75.148,45
3UCOHhnYLVw2ODokTTtaka,0.437,0.206,-14.173,0.0469,0.94,0.00439,0.107,0.433,155.05,45
6aDyiU2cVrqh33UEnEo3WA,0.262,0.163,-15.949,0.0432,0.946,0.0948,0.103,0.0394,76.501,45
3uYxmgnOA9lJYAsHyEbbWA,0.433,0.126,-20.93,0.0384,0.952,0.223,0.115,0.0782,88.572,46
5CqXrqDRXfF5jNVwT0nmPF,0.321,0.179,-12.934,0.0312,0.929,0.00405,0.108,0.284,104.674,40
2Uk0aFqYCtecHL5MCq2we0,0.491,0.0861,-14.991,0.0565,0.992,0.0124,0.0932,0.391,86.038,49
1UZOjK1BwmwWU14Erba9CZ,0.573,0.781,-6.406,0.0555,0.0767,2.64e-05,0.0813,0.343,139.934,78
0V8FYVlBFuXXTIvRnMbZyS,0.327,0.588,-6.611,0.0336,0.0834,0,0.104,0.329,161.074,71
5LABCxgmP7DATATIJXOh6n,0.389,0.537,-6.761,0.0309,0.2,3.13e-06,0.125,0.383,127.964,69
4B1rpPmQXwj78wk6aIGwwU,0.386,0.407,-7.095,0.0268,0.234,1.86e-06,0.0999,0.456,69.387,72
4u9Y4Z9i9VaAbBK7rW1Rha,0.537,0.383,-6.528,0.0247,0.747,0.00025,0.356,0.339,104.252,70
1IF5UcqRO42D12vYwceOY6,0.671,0.156,-16.288,0.0371,0.804,0.0518,0.113,0.201,94.08,74
1dD1aarWotVIiFo5gGdMc2,0.554,0.335,-5.513,0.0281,0.618,0,0.0927,0.298,133.709,59
0L5gFNrzHyh4OhMwEz6DGS,0.515,0.773,-4.848,0.0479,0.23,1.29e-06,0.0938,0.379,128.001,69
5CRVwXGikmqzoRO6q7FeAg,0.565,0.245,-9.132,0.0262,0.781,0,0.0998,0.307,75.055,70
5omYVLodGmaxnhua99xIE8,0.586,0.527,-4.905,0.0309,0.227,0,0.0963,0.506,141.839,65
43ddJFnP8m3PzNJXiHuiyJ,0.877,0.259,-9.302,0.0427,0.771,8.98e-06,0.108,0.32,119.989,56
3wpZTp7HM8Dv25oExNgCC6,0.52,0.308,-11.996,0.0331,0.776,0.00285,0.115,0.187,125.93,53
0qiMbHHjqAmOhvZuUWZS3W,0.768,0.391,-9.899,0.0289,0.738,0,0.0754,0.831,114.91,32
3AqPL1n1wKc5DVFFnYuJhp,0.264,0.128,-15.443,0.034,0.885,0.352,0.105,0.0774,148.499,69
1x8wWTNF2XyI4xd4oiIMLW,0.351,0.437,-5.78,0.0416,0.581,0,0.11,0.215,149.352,29
7LwGBxB0h0CVmkOZxYKn0g,0.548,0.42,-7.842,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,61
6jI7y83WjuyBne9b3IvdSs,0.456,0.205,-8.437,0.0313,0.92,0.00011,0.149,0.161,117.663,43
