id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
5iR8v6fTc33LDo2t4w3342,0.462,0.187,-19.991,0.0304,0.954,0.847,0.0985,0.252,140.096,58
0oTtnnedK0C4unALxVTPhz,0.365,0.273,-16.526,0.038,0.94,0.431,0.109,0.238,132.285,62
2enPRFda84VE2wtI8c86Uf,0.174,0.742,-5.93,0.0485,0.00181,0.281,0.198,0.36,163.378,81
6jgkEbmQ2F2onEqsEhiliL,0.501,0.765,-7.063,0.0281,0.00294,0.49,0.184,0.46,91.771,82
4dk40nfaQav6b4ZsJ9OYUo,0.637,0.85,-5.054,0.0351,0.00487,0.00018,0.152,0.52,126.106,66
1HPJOoIVdUPuaebxzMrVaD,0.537,0.789,-5.578,0.0549,0.372,2.66e-05,0.138,0.527,123.763,73
0V5cvmTKsYmF5FmGGEAfmS,0.303,0.187,-16.757,0.0356,0.989,0.489,0.101,0.213,132.731,85
4UeeEpl4omoe9T9U1ULVL4,0.785,0.285,-14.635,0.0312,0.784,0.545,0.0995,0.634,89.88,54
29KwH2LEjfWEtiC2jCrLVw,0.109,0.242,-15.267,0.0333,0.963,0.799,0.121,0.0592,88.989,61
444FxrSBeljgaFlLOWhN96,0.344,0.0474,-24.394,0.0314,0.982,0.932,0.112,0.132,102.432,42
5UVBumEwdUnzvqxrXOYLFA,0.348,0.263,-8.531,0.0516,0.835,0.654,0.129,0.12,74.517,56
69UqtTHfUKAJweQwEStRzC,0.412,0.477,-9.381,0.029,0.0542,0.798,0.0975,0.141,75.302,79
3AVrVz5rK8Hrqo9YGiVGN5,0.369,0.467,-9.018,0.0274,0.0194,0.46,0.109,0.174,94.473,83
5c9qm0bMYawSyRNUTmUMs5,0.252,0.314,-18.197,0.0407,0.942,0.676,0.0892,0.2,75.056,59
5Qnrgqy1pAm9GyNQOgyVFz,0.435,0.104,-22.39,0.0445,0.973,0.33,0.119,0.162,120.484,80
63eoKDlvWp0aAFH8CJXoSG,0.384,0.495,-6.498,0.0301,0.819,0.461,0.676,0.149,73.944,50
0j3mqDTK4Z6lvrLzFCUUz6,0.364,0.554,-9.076,0.0301,0.077,0.000297,0.125,0.257,150.079,80
3koAwrM1RO0TGMeQJ3qt9J,0.624,0.596,-9.804,0.0314,0.475,0.203,0.119,0.896,120.969,67
17ufBTnCgB4BFIOhQQF6Ju,0.575,0.15,-15.668,0.0265,0.147,0.000119,0.353,0.592,154.856,27
61OJxhoY3Ix50rYVKo8zRK,0.641,0.842,-7.27,0.0292,0.134,0.911,0.419,0.499,129.978,79
7I1kle4TNmkfednJDKo8GR,0.666,0.527,-5.851,0.034,0.109,9.02e-05,0.132,0.37,115.979,63
5Az8KU81g2aLBbJN67F2CI,0.466,0.763,-4.448,0.0318,0.000501,0,0.0973,0.293,154.914,72
14BH4qO7pgCmIe6mgLKOK3,0.468,0.936,-3.683,0.0455,0.00568,0,0.24,0.663,75.05,73
2SS626XrxLokgcGw0sC9zC,0.341,0.747,-5.259,0.0589,0.0256,0.000166,0.0493,0.599,177.39,36
5QJuMhGWTUB4t9BqR7ndL3,0.491,0.666,-6.42,0.0317,0.00146,1.29e-06,0.104,0.26,125.041,61
3pyyGVqWvRMq43qtJBzxe0,0.828,0.66,-9.669,0.0337,0.508,0.403,0.0755,0.904,113.45,72
6oWXWkwHKREYlBNuBCitFP,0.178,0.457,-7.48,0.0312,0.834,0.0244,0.133,0.128,180.343,62
0QGwOFQChzflLAmPq5NwKo,0.555,0.377,-9.123,0.0295,0.671,0,0.128,0.619,78.986,64
1KLpjQFgubHI3GkAICCNH3,0.526,0.774,-1.692,0.0459,0.715,0,0.437,0.715,131.715,60
6I0KEvFfWszVJiCy5hum4V,0.737,0.408,-7.941,0.104,0.802,0,0.171,0.374,127.918,73
7h2nmmoWDi2UpfYKLKWLYB,0.548,0.765,-4.463,0.0525,0.646,0.00378,0.522,0.573,129.933,75
2tznHmp70DxMyr2XhWLOW0,0.636,0.676,-3.442,0.0263,0.0807,0,0.0831,0.273,113.98,79
3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,-6.694,0.0379,0.431,0,0.151,0.51,101.654,82
5n0CTysih20NYdT2S0Wpe8,0.47,0.623,-5.655,0.0302,0.392,0.000439,0.0992,0.298,77.861,73
5Ma3BlNVDtn3JiwMEafSaq,0.249,0.492,-7.108,0.0352,0.755,0,0.243,0.34,54.134,62
0nMqu5vN44GNv8UOQxmBJK,0.559,0.32,-7.694,0.0414,0.0644,0.132,0.173,0.497,147.366,62
4SqWKzw0CbA05TGszDgMlc,0.575,0.648,-4.891,0.0358,0.583,0,0.115,0.466,75.977,88
7MBSbBrx0TvBYyKEcpGcJb,0.245,0.425,-8.379,0.0324,0.914,0.646,0.116,0.254,203.816,63
2Fw4gGClr8zVFZVwIRjyWK,0.659,0.55,-7.641,0.0505,0.18,0.00497,0.209,0.202,128.932,54
0xtIp0lgccN85GfGOekS5L,0.373,0.609,-7.0,0.0316,0.108,0.000427,0.0755,0.354,179.955,70
7yR5ZDif2glYMnFP73uRMm,0.522,0.458,-7.785,0.0275,0.17,0.00244,0.072,0.359,125.973,60
5Ss6DqCldgTmIo6BekVOJT,0.625,0.285,-16.686,0.0537,0.438,0.00279,0.192,0.357,140.02,58
0Ceozg27V0Ws9jgQixD8fr,0.792,0.41,-10.141,0.0492,0.334,2.19e-05,0.106,0.561,112.043,53
6Ok4D4w117mSi9OP8tmrpg,0.511,0.371,-12.074,0.0298,0.0783,0.000864,0.112,0.185,113.998,60
4ileLT7ldd2uX8bMemWqbm,0.515,0.696,-5.857,0.0313,0.0126,0.000345,0.0916,0.513,134.893,59
3HkrEKcOPMBmUemERvy8pq,0.477,0.242,-12.065,0.0318,0.643,0.00491,0.131,0.106,119.247,51
4K3gM7kzX4POAfrs71HomN,0.434,0.302,-10.117,0.0378,0.766,7.63e-06,0.149,0.173,121.645,71
3dSrypFNL28PiQR1DcRh9u,0.668,0.525,-11.714,0.0287,0.18,0.0154,0.0971,0.479,100.651,15
2LawezPeJhN4AWuSB0GtAU,0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,85
5sVXCez77vrBgDoeJKfv4U,0.488,0.51,-8.367,0.026,0.0233,0.15,0.143,0.367,104.959,59
