id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
3iBgrkexCzVuPy4O9vx7Mf,0.62,0.409,-10.146,0.0282,0.77,0.0542,0.105,0.582,113.946,82
41P6Tnd8KIHqON0QIydx6a,0.634,0.663,-6.818,0.0331,0.433,0.124,0.102,0.6,146.053,80
7I1kle4TNmkfednJDKo8GR,0.666,0.527,-5.851,0.034,0.109,9.02e-05,0.132,0.37,115.979,63
2VL573wd9nlqXYHaQoFXfV,0.495,0.794,-6.712,0.0303,0.346,0.45,0.117,0.193,120.179,56
4Gy8ZglxsvsIX04R5PWY7U,0.593,0.544,-7.644,0.0257,0.476,0.602,0.324,0.112,103.989,59
3EaJDYHA0KnX88JvDhL9oa,0.603,0.784,-4.023,0.062,0.446,8.32e-06,0.119,0.769,172.041,87
53bawD9Mqa2oHtf2bbl8IH,0.485,0.785,-4.61,0.0287,0.628,0,0.981,0.432,103.269,47
0dmCos7GHCr5PRKp5LNGH7,0.716,0.708,-4.978,0.0712,0.523,0,0.0886,0.761,127.059,55
7GPBA8xjMJyN6SjoKd4O9E,0.477,0.556,-10.063,0.0613,0.196,0,0.0885,0.541,104.721,54
2NypCBazBS9PPRW0939Wux,0.523,0.652,-8.597,0.14,0.142,0.000132,0.356,0.561,168.933,43
7kwTbAGU3Xe3zKPmPth4HP,0.42,0.324,-11.829,0.0302,0.908,0.000434,0.11,0.322,91.729,47
7HdXRMw14roDx2a0COWk3M,0.728,0.76,-6.884,0.0396,0.00433,0.00585,0.13,0.674,123.045,73
7H7SHw3YWXhb4zYqyoPNa1,0.465,0.696,-6.233,0.0363,0.00777,0.00196,0.142,0.0494,174.806,70
5Wgxqd4a327WnVAdujZq8s,0.551,0.535,-8.143,0.0251,0.488,0,0.135,0.423,101.618,16
5jpFJ6xiphwLbKORHFARXU,0.497,0.686,-7.966,0.0386,0.708,0,0.106,0.744,101.274,27
0tAqynhbZsjGYd5wiXCRvH,0.379,0.388,-9.254,0.0289,0.684,0,0.0617,0.305,77.943,15
0qiMbHHjqAmOhvZuUWZS3W,0.768,0.391,-9.899,0.0289,0.738,0,0.0754,0.831,114.91,32
3WbXA3StUCItkrd5OipTJw,0.584,0.595,-8.179,0.0342,0.452,0,0.181,0.682,106.116,22
115Xp581tWiI1fSUBbBBvU,0.611,0.6,-8.961,0.0379,0.619,0,0.059,0.905,88.033,17
6xLnoJzbr1R8Qs48D9ng9R,0.612,0.47,-9.074,0.0265,0.671,0.00915,0.0905,0.341,144.197,21
46BHP7nFOrGQPLW8mCxzZr,0.638,0.293,-11.703,0.0478,0.342,0.000624,0.448,0.488,155.083,65
6Ngps97GnSV17gGxsYX1NZ,0.63,0.53,-9.279,0.0559,0.625,0.00544,0.111,0.575,157.968,61
4WjxtORnwPavm5PDsAWJEc,0.404,0.268,-9.631,0.0341,0.583,0,0.102,0.124,134.587,70
2RE8lrdEopwUuCfphJKnf8,0.67,0.499,-8.855,0.089,0.68,0.0239,0.0764,0.902,152.084,56
4R2DDseYW2tsmMhvdQQ2Po,0.415,0.45,-8.529,0.0599,0.578,2.82e-05,0.155,0.305,93.17,63
5GpEHUNI0T7L7H3DnAaBXh,0.532,0.39,-10.495,0.234,0.684,0,0.184,0.431,199.956,67
2HCfkGC95wUEkfHrMudUqQ,0.469,0.503,-13.75,0.0658,0.634,0.000394,0.133,0.287,132.036,52
2L9N0zZnd37dwF0clgxMGI,0.516,0.322,-11.762,0.0292,0.473,0.00194,0.215,0.261,148.005,91
