id, danceability, energy, loudness, speechiness, acousticness, instrumentalness, liveness, valence, tempo, popularity
4Ce37cRWvM1vIGGynKcs22,0.728,0.616,-4.238,0.0645,0.378,0,0.105,0.508,99.962,75
5Gu0PDLN4YJeW75PpBSg9p,0.664,0.708,-4.154,0.0474,0.0337,0,0.0841,0.742,103.07,77
36phXHOKx8rO7CMp2vNX4x,0.617,0.759,-6.785,0.0678,0.0026,0,0.419,0.324,122.924,72
6l0Ky2PycJV1Bz88kFeVGL,0.661,0.814,-5.529,0.0759,0.0337,8.27e-06,0.0518,0.459,99.963,70
60todhJq1ScRkVxFvXTuZF,0.681,0.783,-4.997,0.18,0.0262,0,0.206,0.323,106.901,61
2qxaR31Te4xDR2yO6LqM8z,0.611,0.706,-5.036,0.0603,0.313,0,0.053,0.724,157.968,66
3QTDzwSkRW04FVPo6COm0H,0.62,0.696,-6.323,0.0997,0.00798,1e-06,0.113,0.705,176.028,61
2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,-5.672,0.0369,0.109,0,0.0657,0.595,138.113,80
0UAB340gAcSMk3r0a8PTag,0.498,0.715,-4.446,0.0315,0.0607,0,0.274,0.225,151.809,65
6Vh03bkEfXqekWp7Y1UBRb,0.663,0.857,-2.16,0.0544,0.0542,0,0.144,0.931,126.039,75
4My8w8AA1JpG6E5SiAPvJL,0.637,0.93,-2.632,0.0511,0.0177,0,0.452,0.886,90.014,75
4fa1TicRIFloaEVUubYfTV,0.44,0.824,-4.859,0.073,0.0164,0,0.0955,0.652,99.039,61
4GF00uRxC4ECrxNEbnapqf,0.506,0.909,-3.629,0.0528,0.0261,0,0.155,0.814,168.021,65
6Fe0bY8vDxBnN7rDgu3ACE,0.72,0.725,-5.996,0.0463,0.00603,0,0.24,0.679,126.471,64
0OXbRangbVBMejFX3EV6DN,0.495,0.585,-5.49,0.0311,0.329,0,0.406,0.318,121.998,59
5T7ZFtCcOgkpjxcuaeZbw0,0.652,0.877,-2.986,0.0465,0.0227,0,0.0789,0.486,118.491,78
5wjmqUGN7vrAqFqDWrywlZ,0.432,0.868,-2.01,0.0882,0.00725,0,0.233,0.567,156.128,69
1dQQ2QlnvXUehsRUrukKmf,0.645,0.78,-5.165,0.0319,0.218,0,0.0919,0.372,120.008,83
4qG3Um3jXlQnaQV1yVo3it,0.627,0.839,-5.589,0.0508,0.114,0,0.534,0.79,157.993,60
31tjImR06JCJswXViIvFuk,0.6,0.895,-5.807,0.0468,0.001,0,0.145,0.383,129.987,58
2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,-5.672,0.0369,0.109,0,0.0657,0.595,138.113,80
5AezhHjX3R1bmxcAEgrFpS,0.502,0.594,-5.031,0.0365,0.0256,0,0.0834,0.349,153.687,66
5dONhl6aXFuN86UBdayF6W,0.64,0.681,-5.362,0.0334,0.0438,0,0.166,0.676,118.062,71
0iSWAT0EL8TwmzcgBjKMh6,0.678,0.869,-4.345,0.0461,0.149,0,0.0593,0.882,123.964,67
0HMjXBAZmSYOTTi33WpMso,0.655,0.699,-4.421,0.0493,0.0352,0,0.064,0.802,86.704,75
2Xcvt8NRLw0xbB3ClfW8MI,0.556,0.902,-5.143,0.0449,9.17e-05,0,0.0888,0.96,145.914,66
1ZycJRpLOazlLcoFGxGROO,0.687,0.447,-6.586,0.0486,0.0829,0,0.0878,0.501,114.578,68
7GtGeeChOx4NS77bqK8SUx,0.524,0.831,-4.174,0.036,0.00229,0,0.171,0.299,115.067,66
6HFywc5eQYRRYHYTatCb5Y,0.565,0.862,-3.715,0.0326,0.0014,0,0.105,0.647,122.994,67
5UgsZiYk1lkEobuPHmRtWm,0.508,0.895,-3.745,0.0414,0.0424,0,0.198,0.495,168.941,65
4JaLkM90MJutDAl5jD9BZX,0.558,0.916,-3.145,0.0839,0.0278,0,0.0296,0.85,142.984,72
34aYkYrY3sXhEU9O4VQgtB,0.681,0.864,-3.276,0.0301,0.00477,0,0.122,0.921,132.929,69
6AzCBeiDuUXGXjznBufswB,0.678,0.933,-4.959,0.14,0.0734,0,0.0863,0.336,120.572,68
